"","state","age","cit","sex","educ","race","hisp","pwsswgt"
"44771",6,33,1,2,3,1,2,4486.5548
"44772",38,51,1,1,5,1,2,482.6443
"44773",19,56,1,2,4,1,2,3357.5102
"44774",19,77,1,2,2,1,2,2630.2344
"44775",5,52,1,1,2,1,2,1478.8871
"44776",5,46,1,2,2,1,2,1514.1806
"44777",28,58,1,2,4,1,2,1207.1243
"44778",28,57,1,1,2,1,2,1242.7909
"44779",19,61,1,2,5,1,2,2537.5457
"44780",38,80,1,2,5,1,2,415.8303
"44781",18,77,1,2,3,1,2,3054.5216
"44782",1,58,1,1,2,1,2,2170.4259
"44783",1,53,1,2,5,1,2,1983.0215
"44784",34,85,1,2,2,1,2,3766.712
"44785",4,22,1,1,2,1,1,5964.2565
"44786",4,51,4,2,1,1,1,4931.9669
"44787",4,23,1,2,2,1,1,7032.3312
"44788",38,72,1,2,3,1,2,394.6787
"44789",47,56,1,2,3,1,2,4208.9663
"44790",47,63,1,1,3,1,2,5617.4119
"44791",53,73,1,1,4,1,2,3461.5501
"44792",53,71,1,2,4,1,2,3166.2208
"44793",5,49,1,1,2,1,2,1891.9224
"44794",5,49,1,1,2,1,2,1761.4482
"44795",18,44,1,2,6,1,2,4146.8416
"44796",48,66,4,2,3,1,1,4368.0886
"44797",18,44,1,1,5,1,2,4203.9733
"44798",18,40,1,2,5,1,2,4948.5858
"44799",48,36,4,2,5,1,1,4778.5358
"44800",38,80,1,1,2,1,2,444.6604
"44801",18,47,4,2,4,1,1,4597.1434
"44802",41,65,1,2,1,3,2,2198.2468
"44803",41,25,1,1,2,2,2,2757.4443
"44804",41,24,1,1,2,3,2,3657.8735
"44805",25,22,1,1,5,4,2,3680.7246
"44806",53,85,1,2,2,1,2,2415.7102
"44807",6,85,1,2,4,1,1,4407.1641
"44808",6,75,1,2,2,1,1,4407.1641
"44809",1,64,2,1,5,1,1,1888.7507
"44810",1,59,2,2,2,1,1,2566.9647
"44811",21,22,1,1,3,1,2,5269.9972
"44812",21,21,1,2,4,1,2,4632.5274
"44813",36,41,4,1,5,2,2,4798.5779
"44814",45,63,4,2,2,1,2,2538.0812
"44815",25,59,4,2,5,4,2,3533.7498
"44816",25,60,4,1,2,4,2,3908.6775
"44817",22,61,1,1,1,2,2,1902.6031
"44818",48,51,1,1,3,1,2,4344.1327
"44819",48,47,1,2,3,1,2,4644.3618
"44820",48,39,1,1,6,1,2,5026.2813
"44821",48,31,1,2,6,1,2,5474.623
"44822",18,49,1,2,2,1,2,4935.4583
"44823",18,55,1,1,2,2,2,3674.7082
"44824",18,19,1,1,2,1,2,3872.6386
"44825",18,75,1,2,2,2,2,2478.8931
"44826",18,45,1,1,3,2,2,4813.5956
"44827",38,80,1,2,3,1,2,376.9011
"44828",28,46,1,2,2,1,2,1488.9956
"44829",28,54,1,1,1,1,2,1640.1008
"44830",48,80,1,1,5,1,2,3821.7235
"44831",48,79,1,2,1,2,2,4917.086
"44832",48,61,1,1,2,2,2,5800.6749
"44833",6,74,4,2,1,1,2,3792.6359
"44834",6,37,1,1,2,1,2,4563.0629
"44835",22,71,1,2,5,2,2,1355.5601
"44836",28,70,1,2,2,2,2,933.6487
"44837",28,54,1,1,5,1,2,1324.2816
"44838",48,30,1,1,6,1,1,5126.9284
"44839",48,31,1,2,6,1,1,4393.5267
"44840",48,78,1,2,3,1,2,3829.3283
"44841",38,39,1,2,2,1,2,749.8595
"44842",38,20,1,1,2,1,2,686.0078
"44843",38,73,1,1,6,1,2,443.319
"44844",38,70,1,2,3,1,2,419.0602
"44845",48,70,1,2,8,2,2,5361.7824
"44846",48,73,1,1,5,2,2,3921.5886
"44847",18,32,1,1,3,1,2,5109.6452
"44848",18,34,1,1,5,1,2,5424.6503
"44849",18,37,1,2,4,3,1,6335.3371
"44850",18,59,1,1,4,1,2,4233.7527
"44851",18,55,1,2,3,1,2,3399.3887
"44852",48,57,4,2,6,4,2,5963.643
"44853",48,60,4,1,6,4,2,4666.8369
"44854",48,23,1,1,5,4,2,4745.5417
"44855",48,31,1,1,4,1,1,4304.7557
"44856",48,31,1,2,3,1,2,4710.8927
"44857",38,32,1,2,2,1,2,630.3791
"44858",38,37,1,1,2,1,2,676.6926
"44859",38,60,1,1,1,1,2,432.7808
"44860",38,65,1,1,1,1,2,443.1211
